message_type	message_text
help	"Пожалуйста, поговорите с собеседником на заданные темы и оцените диалог.
Начать диалог: введите команду ""/begin"".
В начале диалога Вы получите описание Вашей роли и первую тему для обсуждения.
В течение диалога ведите себя так, будто Вы являетесь человеком, описанным в выданной роли.
Во время диалога обсудите, пожалуйста, все заданные темы. Вашему собеседнику будет дан аналогичный список тем.
На каждую тему должно приходиться не менее 6 реплик от обоих участников диалога.
Сменить тему: введите команду ""/nexttopic"".
Закончить диалог: введите команду ""/end"".
Пожаловаться на собеседника: введите команду ""/complain""
После завершения диалога необходимо:
1) оценить качество диалога от 1 (плохой) до 5 (отличный);
2) выбрать из 2 персон ту, которой, как Вам кажется, придерживался в ходе диалога Ваш собеседник."
start	"1. Чтобы начать диалог, наберите команду ""/begin"" или нажмите кнопку ""/begin"".
2. Для Вас будет случайным образом выбран собеседник. Если свободных собеседников нет, мы попросим Вас немного подождать.
3. Ваш собеседник может быть как ботом, так и живым человеком.
4. Когда собеседник будет найден, Вы увидите описание своей роли в диалоге и первую тему для обсуждения.
5. В течение диалога ведите себя так, будто Вы являетесь человеком, описанным в выданной Вам роли.
6. Во время диалога обсудите, пожалуйста, все заданные темы. Вашему собеседнику будет дан аналогичный список тем.
7. На каждую тему должно приходиться не менее 6 реплик от обоих участников диалога.
8. Для перехода к следующей теме наберите команду ""/nexttopic"" или нажмите кнопку ""/nexttopic"".
9. Во время диалога Вы можете ставить ответам собеседника ""палец вверх"", если они Вам понравились и ""палец вниз"", если не понравились.
10. Чтобы закончить диалог, введите команду ""/end"" или нажмите кнопку ""/end""..
11. Если собеседник Вас оскорбил, введите команду ""/complain"". Ваша жалоба будет записана и проверена.
12. После окончания диалога Вам будет предложено оценить его от 1 (плохой) до 5 (отличный).
13. Вам также будут предложены описания двух персон. Выберите ту, которой, как Вам кажется, придерживался Ваш собеседник в диалоге.
13. Ваш диалог будет записан для дальнейшего использования. Начиная диалог, вы даете нам разрешение на публикацию вашего диалога в анонимизированном виде под лизензией Apache Version 2.0 https://www.apache.org / licenses / LICENSE – 2.0."
start_conversation_can_not	Вы находитесь в диалоге. Новый диалог не может быть начат, пока не закончен предыдущий. Чтобы его закончить, введите команду “/end”. Чтобы получить справку, введите команду “/help”.
start_conversation_searching_for_peer	Поиск собеседника. Пожалуйста, подождите...
start_conversation_peer_found	Собеседник найден!
start_conversation_profile_assigning	Это Ваша персона. Во время диалога ведите себя как этот человек:
finish_conversation	Диалог завершен. Спасибо за участие!
finish_conversation_show_id	ID диалога: {}
failed_conversation_no_peers	К сожалению, собеседников для Вас не найдено. Попробуйте позже.
failed_conversation_banned	Вам заблокирован доступ к системе.
error	INTERNAL_ERROR
not_in_conversation_unexpected_message	Неизвестная ошибка. Вы сейчас не в диалоге или диалог был завершен. Чтобы получить справку, введите команду “/help”.
not_in_dialog	Вы не участвуете в диалоге. Чтобы начать диалог, введите команду “/begin”.
evaluation_not_allowed	Оценка диалога недоступна. Чтобы получить справку, введите команду “/help”.
evaluation_start	Пожалуйста, оцените качество диалога от 1 до 5:
evaluation_saved	Спасибо! Ваша оценка сохранена. Пожалуйста, подождите, пока Ваш собеседник завершит оценку...
evaluation_saved_show_id	"Спасибо! Ваша оценка сохранена. ID диалога: {}

Ждем, пока Ваш собеседник завершит оценку..."
evaluate_all_messages	Пожалуйста, сначала оцените все сообщения Вашего собеседника.
profile_selection_invitation	Выберите персону, которой, как Вам кажется, придерживался Ваш собеседник в диалоге:
profile_selection_not_allowed	Выбор персоны собеседника сейчас недоступен. Чтобы получить справку, введите команду “/help”.
profile_selection_sentences_selection	Какое из предложений лучше описывает Вашего собеседника ({}/{})?
complaining_not_available	В настоящее время Вы не участвуете в диалоге. Опция “Пожаловаться” недоступна.
complaining_success	Ваша жалоба была записана и будет рассмотрена администратором. Диалог все еще продолжается. Если вы хотите завершить его, введите команду “/end”.
complaining_fail	Извините, мы не смогли сохранить Вашу жалобу. Проверьте, находитесь ли Вы сейчас в диалоге. Вы можете отправить жалобу только во время диалога.
bot_setting_not_available	Вы находитесь в диалоге. Настройки бота недоступны. Пожалуйста, завершите диалог и перезапустите настройки.
bot_setting_enter_token	"Your default bot is: {}

Enter bot token to set default bot or:
/unsetbot command to unset default bot for your user in this channel
/listbots command to list all active bots
/cancelsetbot command to cancel bot setting"
bot_setting_not_allowed	Bot setting is not allowed.
bot_setting_bot_was_unset	Default bot for your user in this channel was unset.
bot_setting_not_in_set_bot	You are not in bot setting mode now. Please run /setbot command.
bot_setting_bot_was_set	You successfully set bot: {}
bot_setting_bot_was_not_found	No bot found with token: {}
bot_setting_canceled	Bot setting was canceled.
switch_topic_not_allowed	Переключение темы недоступно.
switch_topic_info	"Вы или Ваш собеседник сменили тему, нажав ""/nexttopic"".
Пожалуйста, обсудите следующую тему:

{}"
switch_topic_messages_left	Недостает {} сообщений от Вас или Вашего собеседника, чтобы можно было сменить тему.
switch_topic_not_available	Следующая тема недоступна, т.к. список тем исчерпан.
